artist,date,year,dayofweek,weekend,starttime,endtime,durationminutes,stage,mainstage
Prinz,2005-08-14,2005,Sunday,Weekend 1,23:45:00,00:55:00,70,unknown,False
Armin Van Buuren,2005-08-14,2005,Sunday,Weekend 1,23:00:00,00:55:00,115,unknown,False
Pacal FEOS,2005-08-14,2005,Sunday,Weekend 1,23:00:00,00:55:00,115,unknown,False
Darkraver,2005-08-14,2005,Sunday,Weekend 1,23:00:00,00:00:00,60,unknown,False
DJ Montana,2005-08-14,2005,Sunday,Weekend 1,22:30:00,00:00:00,90,unknown,False
Technoboy,2005-08-14,2005,Sunday,Weekend 1,22:00:00,23:00:00,60,unknown,False
Richard Bartz,2005-08-14,2005,Sunday,Weekend 1,22:00:00,23:00:00,60,unknown,False
Monika Kruse,2005-08-14,2005,Sunday,Weekend 1,22:00:00,00:00:00,120,unknown,False
Andy Caldwell,2005-08-14,2005,Sunday,Weekend 1,21:45:00,23:45:00,120,unknown,False
Erol Alkan,2005-08-14,2005,Sunday,Weekend 1,21:00:00,23:00:00,120,unknown,False
Dave Lambert,2005-08-14,2005,Sunday,Weekend 1,21:00:00,23:00:00,120,unknown,False
DJ Luna,2005-08-14,2005,Sunday,Weekend 1,21:00:00,22:00:00,60,unknown,False
Cor Fijneman,2005-08-14,2005,Sunday,Weekend 1,20:30:00,22:30:00,120,unknown,False
Isabel,2005-08-14,2005,Sunday,Weekend 1,20:30:00,21:45:00,75,unknown,False
T-Quest,2005-08-14,2005,Sunday,Weekend 1,20:00:00,22:00:00,120,unknown,False
The Prophet,2005-08-14,2005,Sunday,Weekend 1,19:45:00,21:00:00,75,unknown,False
Sven Väth,2005-08-14,2005,Sunday,Weekend 1,19:00:00,22:00:00,180,unknown,False
Justice,2005-08-14,2005,Sunday,Weekend 1,19:00:00,21:00:00,120,unknown,False
Dr. Kucho,2005-08-14,2005,Sunday,Weekend 1,19:00:00,21:00:00,120,unknown,False
John O'Bir,2005-08-14,2005,Sunday,Weekend 1,19:00:00,20:30:00,90,unknown,False
Secret cinema,2005-08-14,2005,Sunday,Weekend 1,19:00:00,20:00:00,60,unknown,False
TLP aka Troubleman,2005-08-14,2005,Sunday,Weekend 1,19:00:00,00:55:00,355,unknown,False
Sven Van Hees,2005-08-14,2005,Sunday,Weekend 1,18:45:00,20:30:00,105,unknown,False
Pavo,2005-08-14,2005,Sunday,Weekend 1,18:30:00,19:45:00,75,unknown,False
Mojado (live),2005-08-14,2005,Sunday,Weekend 1,18:00:00,19:00:00,60,unknown,False
Toni Rios,2005-08-14,2005,Sunday,Weekend 1,17:30:00,19:00:00,90,unknown,False
Bartholomeo,2005-08-14,2005,Sunday,Weekend 1,17:30:00,18:45:00,75,unknown,False
Yves De Ruyter,2005-08-14,2005,Sunday,Weekend 1,17:15:00,18:30:00,75,unknown,False
